ID,Name,Email,Nomor Telepon,Password,Role,Kecamatan,Desa
1,Amat,aa@gmail.com,081200000001,a,admin,Rambipuji,Rambigundam,
2,Budi Hartono,budi.h2@gmail.com,081200000002,userpass1,user,Sumbersari,Karangrejo,
3,Citra Lestari,citra.l3@gmail.com,081200000003,userpass2,user,Kaliwates,Mangli,
4,Dewi Anggraini,dewi.a4@gmail.com,081200000004,userpass3,user,Patrang,Jemberlor,
5,Eko Prasetyo,eko.p5@gmail.com,081200000005,userpass4,user,Ajung,Klompangan,
6,Fitriani Mulyani,fitri.m6@gmail.com,081200000006,userpass5,user,Kalisat,Glagahwero,
7,Gilang Ramadhan,gilang.r7@gmail.com,081200000007,userpass6,user,Rambipuji,Gugut,
8,Hana Wulandari,hana.w8@gmail.com,081200000008,userpass7,user,Sumbersari,Antirogo,
9,Indra Permana,indra.p9@gmail.com,081200000009,userpass8,user,Kaliwates,Kepatihan,
10,Joko Susilo,joko.s10@gmail.com,081200000010,userpass9,user,Patrang,Slawu,
11,Kartika Sari,kartika.s11@gmail.com,081200000011,userpass10,user,Ajung,Ajung,
12,Lutfi Hakim,lutfi.h12@gmail.com,081200000012,userpass11,user,Kalisat,Kalisat,
13,Maya Indah,maya.i13@gmail.com,081200000013,userpass12,user,Rambipuji,Kaliwining,
14,Nanda Pratama,nanda.p14@gmail.com,081200000014,userpass13,user,Sumbersari,Sumbersari,
15,Oscar Wijaya,oscar.w15@gmail.com,081200000015,userpass14,user,Kaliwates,Sempusari,
16,Putri Ayu,putri.a16@gmail.com,081200000016,userpass15,user,Patrang,Bintoro,
17,Rahmat Hidayat,rahmat.h17@gmail.com,081200000017,userpass16,user,Ajung,Mangaran,
18,Siti Aminah,siti.a18@gmail.com,081200000018,userpass17,user,Kalisat,Sumberkalong,
19,Taufik Akbar,taufik.a19@gmail.com,081200000019,userpass18,user,Rambipuji,Curahmalang,
20,Ujang Suherman,ujang.s20@gmail.com,081200000020,userpass19,user,Sumbersari,Kebonsari,
21,Vera Novita,vera.n21@gmail.com,081200000021,userpass20,user,Kaliwates,Kaliwates,
22,Wahyu Nugroho,wahyu.n22@gmail.com,081200000022,userpass21,user,Patrang,Baratan,
23,Yulia Puspita,yulia.p23@gmail.com,081200000023,userpass22,user,Ajung,Pancakarya,
24,Zainal Abidin,zainal.a24@gmail.com,081200000024,userpass23,user,Kalisat,Ajung,
25,Angga Saputra,angga.s25@gmail.com,081200000025,userpass24,user,Rambipuji,Nogosari,
26,Bella Rosalia,bella.r26@gmail.com,081200000026,userpass25,user,Sumbersari,Kranjingan,
27,Chandra Gunawan,chandra.g27@gmail.com,081200000027,userpass26,user,Kaliwates,Kebon Agung,
28,Dika Mahendra,dika.m28@gmail.com,081200000028,userpass27,user,Patrang,Banjarsengon,
29,Elina Putri,elina.p29@gmail.com,081200000029,userpass28,user,Ajung,Rowoindah,
30,Farhan Azis,farhan.a30@gmail.com,081200000030,userpass29,user,Kalisat,Patempuran,
31,Genta Prakasa,genta.p31@gmail.com,081200000031,userpass30,user,Rambipuji,Pecoro,
32,Heru Setiawan,heru.s32@gmail.com,081200000032,userpass31,user,Sumbersari,Tegalgede,
33,Intan Permatasari,intan.p33@gmail.com,081200000033,userpass32,user,Kaliwates,Jember Kidul,
34,Kevin Ardiansyah,kevin.a34@gmail.com,081200000034,userpass33,user,Patrang,Gebang,
35,Lina Marlina,lina.m35@gmail.com,081200000035,userpass34,user,Ajung,Sukamakmur,
36,Mirza Abdullah,mirza.a36@gmail.com,081200000036,userpass35,user,Kalisat,Sebanen,
37,Nina Rosita,nina.r37@gmail.com,081200000037,userpass36,user,Rambipuji,Rowotamtu,
38,Omar Syarif,omar.s38@gmail.com,081200000038,userpass37,user,Sumbersari,Wirolegi,
39,Poppy Indriani,poppy.i39@gmail.com,081200000039,userpass38,user,Kaliwates,Tegal Besar,
40,Rian Hidayanto,rian.h40@gmail.com,081200000040,userpass39,user,Patrang,Jumerto,
41,Siska Amelia,siska.a41@gmail.com,081200000041,userpass40,user,Ajung,Wirowongso,
42,Toni Firmansyah,toni.f42@gmail.com,081200000042,userpass41,user,Kalisat,Sukoreno,
43,Vina Lestari,vina.l43@gmail.com,081200000043,userpass42,user,Rambipuji,Rambigundam,
44,Wira Santika,wira.s44@gmail.com,081200000044,userpass43,user,Sumbersari,Karangrejo,
45,Xena Prameswari,xena.p45@gmail.com,081200000045,userpass44,user,Kaliwates,Mangli,
46,Yanto Kusumo,yanto.k46@gmail.com,081200000046,userpass45,user,Patrang,Patrang,
47,Zaskia Nuraini,zaskia.n47@gmail.com,081200000047,userpass46,user,Ajung,Klompangan,
48,Arief Rahman,arief.r48@gmail.com,081200000048,userpass47,user,Kalisat,Glagahwero,
49,Bayu Anggara,bayu.a49@gmail.com,081200000049,userpass48,user,Rambipuji,Gugut,
50,Chintya Bella,chintya.b50@gmail.com,081200000050,userpass49,user,Sumbersari,Antirogo,
51,Dimas Saputra,dimas.s51@gmail.com,081200000051,userpass50,user,Kaliwates,Kepatihan,
52,Erina Fitri,erina.f52@gmail.com,081200000052,userpass51,user,Patrang,Slawu,
53,Fandi Ahmad,fandi.a53@gmail.com,081200000053,userpass52,user,Ajung,Ajung,
54,Gina Natasya,gina.n54@gmail.com,081200000054,userpass53,user,Kalisat,Kalisat,
55,Haris Munandar,haris.m55@gmail.com,081200000055,userpass54,user,Rambipuji,Kaliwining,
56,Icha Aprilia,icha.a56@gmail.com,081200000056,userpass55,user,Sumbersari,Sumbersari,
57,Jamaludin Malik,jamal.m57@gmail.com,081200000057,userpass56,user,Kaliwates,Sempusari,
58,Kirana Dewi,kirana.d58@gmail.com,081200000058,userpass57,user,Patrang,Bintoro,
59,Leo Chandra,leo.c59@gmail.com,081200000059,userpass58,user,Ajung,Mangaran,
60,Mira Anjani,mira.a60@gmail.com,081200000060,userpass59,user,Kalisat,Sumberkalong,
61,Nana Suryani,nana.s61@gmail.com,081200000061,userpass60,user,Rambipuji,Curahmalang,
62,Pandu Wijaksana,pandu.w62@gmail.com,081200000062,userpass61,user,Sumbersari,Kebonsari,
63,Qori Ramadhani,qori.r63@gmail.com,081200000063,userpass62,user,Kaliwates,Kaliwates,
64,Rendy Pratama,rendy.p64@gmail.com,081200000064,userpass63,user,Patrang,Baratan,
65,Sandra Dewi,sandra.d65@gmail.com,081200000065,userpass64,user,Ajung,Pancakarya,
66,Teuku Muhammad,teuku.m66@gmail.com,081200000066,userpass65,user,Kalisat,Ajung,
67,Ulfa Salsabila,ulfa.s67@gmail.com,081200000067,userpass66,user,Rambipuji,Nogosari,
68,Vicky Prasetya,vicky.p68@gmail.com,081200000068,userpass67,user,Sumbersari,Kranjingan,
69,Windy Aulia,windy.a69@gmail.com,081200000069,userpass68,user,Kaliwates,Kebon Agung,
70,Yoga Adhitama,yoga.a70@gmail.com,081200000070,userpass69,user,Patrang,Banjarsengon,
71,Zaki Maulana,zaki.m71@gmail.com,081200000071,userpass70,user,Ajung,Rowoindah,
72,Alisa Putri,alisa.p72@gmail.com,081200000072,userpass71,user,Kalisat,Patempuran,
73,Ben Iskandar,ben.i73@gmail.com,081200000073,userpass72,user,Rambipuji,Pecoro,
74,Dinda Kirana,dinda.k74@gmail.com,081200000074,userpass73,user,Sumbersari,Tegalgede,
75,Farel Agustian,farel.a75@gmail.com,081200000075,userpass74,user,Kaliwates,Jember Kidul,
76,Ghina Yasmin,ghina.y76@gmail.com,081200000076,userpass75,user,Patrang,Gebang,
77,Iqbal Ramadhan,iqbal.r77@gmail.com,081200000077,userpass76,user,Ajung,Sukamakmur,
78,Jihan Nabila,jihan.n78@gmail.com,081200000078,userpass77,user,Kalisat,Sebanen,
79,Kiki Amalia,kiki.a79@gmail.com,081200000079,userpass78,user,Rambipuji,Rowotamtu,
80,Laras Sekar,laras.s80@gmail.com,081200000080,userpass79,user,Sumbersari,Wirolegi,
81,Reza Pahlevi,reza.p81@gmail.com,081200000081,userpass80,user,Kaliwates,Tegal Besar,
82,Mega Utari,mega.u82@gmail.com,081200000082,userpass81,user,Patrang,Jumerto,
83,Naufal Zaki,naufal.z83@gmail.com,081200000083,userpass82,user,Ajung,Wirowongso,
84,Olivia Sari,olivia.s84@gmail.com,081200000084,userpass83,user,Kalisat,Sukoreno,
85,Panji Gumilang,panji.g85@gmail.com,081200000085,userpass84,user,Rambipuji,Rambigundam,
86,Rara Anindita,rara.a86@gmail.com,081200000086,userpass85,user,Sumbersari,Karangrejo,
87,Satria Baja,satria.b87@gmail.com,081200000087,userpass86,user,Kaliwates,Mangli,
88,Tiara Maharani,tiara.m88@gmail.com,081200000088,userpass87,user,Patrang,Jemberlor,
89,Umar Bakri,umar.b89@gmail.com,081200000089,userpass88,user,Ajung,Klompangan,
90,Vania Mariska,vania.m90@gmail.com,081200000090,userpass89,user,Kalisat,Glagahwero,
91,Wisnu Wardhana,wisnu.w91@gmail.com,081200000091,userpass90,user,Rambipuji,Gugut,
92,Yessy Fitriana,yessy.f92@gmail.com,081200000092,userpass91,user,Sumbersari,Antirogo,
93,Zidan Alamsyah,zidan.a93@gmail.com,081200000093,userpass92,user,Kaliwates,Kepatihan,
94,Adelia Putri,adelia.p94@gmail.com,081200000094,userpass93,user,Patrang,Slawu,
95,Bagas Prakoso,bagas.p95@gmail.com,081200000095,userpass94,user,Ajung,Ajung,
96,Clara Shinta,clara.s96@gmail.com,081200000096,userpass95,user,Kalisat,Kalisat,
97,Daffa Arkan,daffa.a97@gmail.com,081200000097,userpass96,user,Rambipuji,Kaliwining,
98,Erika Damayanti,erika.d98@gmail.com,081200000098,userpass97,user,Sumbersari,Sumbersari,
99,Fahmi Rizal,fahmi.r99@gmail.com,081200000099,userpass98,user,Kaliwates,Sempusari,
100,Gabriella Angel,gabriella.a100@gmail.com,081200000100,userpass99,user,Patrang,Bintoro,
101,Ahmad fajarudin,aaa@gmail.com,081200000101,Aa,user,Rambipuji,Rambigundam,
